Country/Region,Latitude,Longitude,Jan_2020,Feb_2020,March_2020,April_2020,May_2020,June_2020,July_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,March_2021,April_2021,May_2021,June_2021,July_2021,Aug_2021,Sep_2021,Oct_2021
Kazakhstan,48.0196,66.9237,0,0,1937,46219,202761,476607,2056485,3642536,4240462,4942272,5378221,6453333,7192255,7556281,9220235,10829183,13691339,14822902,18337115,25406767,29618650,33868269
Kenya,-0.0236,37.9062,0,0,370,7263,29773,118824,386628,902573,1130595,1554874,2361715,3146941,3266911,3099754,3906333,4783556,5477160,5679362,6367474,7333042,7835479,8564530
Kiribati,-3.3704,-168.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,64,66,66,64,68
"Korea, South",35.907757000000004,127.766922,38,8978,244918,315431,342959,365805,423421,505449,697122,860899,995816,1653352,2378893,2545245,3212071,3642112,4380618,4802798,5897926,7553171,9096073,11698072
Kosovo,42.602636,20.902977,0,0,844,12732,29343,51853,166431,349836,457974,585146,1003671,1602699,1840690,1940463,2606273,3164573,3500704,3431377,3562849,4066142,5019765,5457371
Kuwait,29.311659999999996,47.481766,0,126,4154,51368,445816,1106772,1776417,2362626,2991435,3951783,4511961,5008135,5214327,5374127,7052543,8158918,9678813,10694779,12614695,13402226,13151539,14018304
Kyrgyzstan,41.20438,74.766098,0,0,587,13260,36450,87845,597522,1276140,1400862,1785064,2215599,2654954,2740784,2566485,2879101,2936225,3321819,3638747,4848240,5667200,5678571,6119089
Laos,19.856270000000002,102.495496,0,0,50,503,589,570,597,656,703,796,963,1382,1380,1348,1583,6684,51118,65021,123643,362170,608863,1108409
Latvia,56.8796,24.6032,0,0,3277,20149,30402,32971,36487,40754,47440,125107,382347,1001751,1812997,2325388,3144361,3542557,4209295,4356247,4559347,4639883,4798652,6405255
Lebanon,33.8547,35.8623,0,11,5177,18944,29199,44582,85807,302900,848360,2110933,3569241,5289859,8195532,10258183,14081778,16147266,17674410,17375132,18204251,19283497,19704047,21560470
Lesotho,-29.61,28.2336,0,0,0,0,29,272,8782,27809,41446,62769,67562,85701,211993,299248,349161,342907,356070,353025,406370,465798,474508,731624
Liberia,6.4280550000000005,-9.429499,0,0,56,1941,6757,14879,31614,38938,41002,46961,49832,59046,61716,59271,67160,66427,70519,91027,169702,181634,185019,197401
Libya,26.3351,17.228331,0,0,33,1180,2340,14275,57791,257246,775147,1664042,2451029,3164164,3615421,3829486,4875009,5455088,6003643,6079242,7247007,9407848,10489887,11906937
Liechtenstein,47.14,9.55,0,0,784,2419,2573,2485,2665,2983,3498,9939,34136,60199,80785,78425,89078,92467,101468,99816,104359,108636,112202,122577
Lithuania,55.1694,23.8813,0,0,3022,30598,47420,52692,59304,75618,112084,294410,1284517,3582649,5539648,5736197,6848215,7433892,8726248,8885126,9244978,9605526,10065665,12637195
Luxembourg,49.8153,6.1296,0,0,17209,99317,121711,122950,166386,225779,233739,407478,908308,1437047,1608014,1593546,1931003,2068718,2275022,2254647,2397854,2469869,2467274,2721916
MS Zaandam,0.0,0.0,0,0,8,270,279,270,279,279,279,306,297,306,297,270,297,288,297,288,297,297,288,306
Madagascar,-18.766947000000002,46.869107,0,0,271,3143,10795,42217,192907,420613,490284,571219,569600,597620,602360,585406,720668,995875,1317171,1342499,1402128,1412392,1372564,1479450
Malawi,-13.2543,34.3015,0,0,0,528,2747,19374,82400,154885,176512,199039,197453,211570,464497,873075,1087291,1084401,1129554,1117812,1437942,1910558,1958871,2098348
Malaysia,4.210483999999999,101.97576600000001,39,511,27637,145040,214779,252725,271966,284350,313581,721349,1655456,3086231,5335912,7986578,10786595,11996579,16009390,21608343,30380652,47881823,65334682,81102031
Maldives,3.2028,73.2207,0,0,289,2519,32674,62485,90220,182727,289210,378883,409140,457128,483827,540447,728589,853254,1558586,2263380,2502070,2620544,2665230,2935326
Mali,17.570692,-3.9961660000000006,0,0,106,5898,26486,53905,75197,81775,91802,114729,135075,205084,256056,247471,302493,398632,467255,459521,478679,485920,481629,532791
Malta,35.9375,14.3754,0,0,1707,11099,16920,19477,21346,41914,77738,156641,272682,391979,512783,604704,881909,954077,1005525,978790,1066431,1168346,1178715,1273381
Marshall Islands,7.1315,171.1845,0,0,0,0,0,0,0,0,0,14,88,136,132,120,132,128,132,128,132,132,128,136
Mauritania,21.0079,-10.9408,0,0,46,204,4057,67050,172865,208217,226614,258734,267207,401726,524414,509581,578619,580073,625478,647369,753114,1003101,1124543,1248543
Mauritius,-20.348404000000002,57.552152,0,0,841,8914,10311,10136,10622,10750,11277,14150,15820,17687,18202,17967,25719,37796,42470,53808,91818,221951,439323,569866
Mexico,23.6345,-102.5528,0,1,8124,229514,1560343,4692440,10107738,16108026,21057467,28878723,33742762,43916440,54396132,59864486,71787248,73537514,78656309,78994769,87974672,103266030,113338264,127552848
Micronesia,7.4256,150.5508,0,0,0,0,0,0,0,0,0,0,0,0,13,30,33,32,33,32,33,33,32,34
Moldova,47.4116,28.3699,0,0,2328,62717,183842,370715,633899,948327,1390526,2254969,3051386,4439011,5044849,5173863,6915075,7801693,8371437,8192071,8514896,8689499,8974549,10816604
Monaco,43.7333,7.4167,0,0,433,2606,2993,3000,3437,4408,5608,9401,17740,24749,39767,53422,70576,76602,82172,81276,89221,101530,104935,114442
Mongolia,46.8625,103.8467,0,0,150,784,3109,6073,8047,9204,9648,11122,17873,34104,50751,73057,168366,707336,1638482,2799333,4805974,6209299,8572518,11504198
Montenegro,42.708678000000006,19.37439,0,0,702,8188,10037,10921,54628,124250,238176,519399,929721,1459013,1829422,2083784,2798883,3041970,3260433,3199986,3327988,3564571,3982746,4705229
Morocco,31.7917,-7.0926,0,0,3758,71867,203338,284411,530553,1322632,2893324,5910265,9857553,13873899,15131848,14360458,16176628,16151611,17014077,16815046,18612221,25232025,29117483,32013618
Mozambique,-18.665695,35.529562,0,0,56,1062,4381,17887,41760,88562,188838,372115,480035,589576,911241,1525343,2135675,2209443,2324049,2328220,3261167,4567086,4782478,5137013
Namibia,-22.9576,18.4904,0,0,97,472,554,1843,33954,137480,304860,416700,450635,633503,991745,1093358,1376643,1486499,1708181,2269390,3597102,4045797,4049405,4365309
Nepal,28.1667,84.25,7,28,56,792,13506,210352,535535,863563,1827000,4426058,6940445,8525399,8810448,8185438,9097963,9317887,15165841,19585032,22022945,24256107,25015387,27391620
Netherlands,12.5211,-69.9683,0,0,338,2634,3127,3034,3436,32928,98764,146156,154886,175415,209832,224539,284751,326443,358047,354854,373096,441636,485194,534896
Netherlands,12.1784,-68.2385,0,0,0,101,186,210,274,408,1401,4945,5187,6022,6468,5880,6468,11720,52591,52087,55269,57873,62509,78694
Netherlands,12.1696,-68.99,0,0,89,417,514,663,814,1218,6590,24178,52315,125758,148050,139728,195937,362889,404252,393806,423287,482355,510292,574382
Netherlands,18.0425,-63.0548,0,0,37,1612,2372,2310,2688,9242,17654,25497,31755,43829,54815,59809,69209,70267,76531,81387,88404,107483,129658,150741
Netherlands,52.1326,5.2913,0,2,101546,842792,1350951,1461691,1603053,1942711,2808046,7947542,15030012,22631046,29918229,31092304,38955054,44581725,52584211,53560664,58719575,62930496,63297042,70057721
New Zealand,-21.2367,-159.7777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,33,33,32,34
New Zealand,-40.9006,174.886,0,1,3637,38859,46429,45317,47976,50692,55961,64670,66437,71894,74223,70273,80614,82544,87553,86789,92831,101873,128648,180685
Nicaragua,12.865416,-85.207229,0,0,33,269,6802,49303,95826,128770,152150,182319,187715,201750,203425,191165,216812,217153,235800,248025,291532,346904,416385,535928
Niger,17.607789,8.081666,0,0,119,15083,26985,30260,34308,36069,36727,41116,44678,86031,134596,140364,161220,163866,176384,174624,183688,189624,190142,210477
Nigeria,9.082,8.6753,0,1,843,19506,180866,521195,1081480,1523808,1756189,2078998,2161744,2627585,3652284,4399293,5300979,5252694,5470819,5348766,5609124,6065113,6416913,7114912
North Macedonia,41.6086,21.7453,0,3,2469,29086,55465,127852,267796,393574,502625,820569,1614294,2568494,2922374,2931848,3836331,4625120,5096540,4977741,5146340,5451088,5932016,6713516
Norway,60.472,8.4689,0,8,51448,200308,253969,259993,279850,309769,387858,576600,979736,1469619,1912053,2017787,2766807,3398595,3952016,4120425,4436980,4863051,5724598,6739381
Oman,21.512583,55.923255000000005,0,16,1700,32202,169194,752585,1918861,2564645,2839578,3694512,3973732,4313457,4347523,4136377,4927264,5690378,6809047,7751237,9464422,9905643,9702946,10337956
Pakistan,30.3753,69.3451,0,10,17691,246405,1316336,4450339,7910429,8934372,9432165,11014890,12111366,15299188,17126508,16971625,20535360,24162727,29137303,30231511,32745004,36560838,38900039,42976882
Palau,7.515,134.5825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,118,233
Panama,8.538,-80.7821,0,0,7317,112687,296760,671302,1544999,2495408,3208646,4228333,4950083,7037018,9667205,9980246,11519491,11529670,12259679,12521713,13908685,14799825,14826131,15991014
Papua New Guinea,-6.314993,143.95555,0,0,12,139,248,261,786,9181,15843,19389,20335,25015,27316,30217,100473,293879,453098,535280,574934,587865,601461,857196
Paraguay,-23.4425,-58.4438,0,0,616,5209,22319,41461,107086,322154,937289,1836429,2425971,3305849,4014809,4397997,6184382,7945694,10510816,12700905,14587563,15067557,14701689,15657060
Peru,-9.19,-75.0152,0,0,7702,410944,2852556,6934846,10661731,16405207,22869305,29360900,30919721,33672907,35157109,37159592,47458153,53978954,62284789,64413420,68940014,70455131,69268507,74470432
Philippines,12.879721,121.77401699999999,2,77,11453,163684,386438,813411,1949430,4980560,8384740,12004137,13541031,15499858,16524846,16563533,21472105,29271663,37830879,42677116,49691957,58791468,73766341,92034752
Poland,51.9194,19.1451,0,0,16224,235230,568704,890824,1223582,1758274,2407834,6807580,24331473,39805991,47022735,48173086,65834763,84193166,93979017,92082825,95087018,95232426,92710242,100470959
Portugal,39.3999,-8.2245,0,0,46919,533042,891512,1120468,1466385,1681411,2055943,3541018,7543060,12350208,18507758,23443076,26895129,26558310,27814835,27613519,30592563,33235940,33863425,36741110
Qatar,25.3548,51.1839,0,0,10292,156835,1004693,2393921,3253053,3564216,3796629,4402207,4493068,4816679,4869979,4740032,5677814,6229890,7036014,7046294,7399496,7580707,7523503,8094001
Romania,45.9432,24.9668,0,5,14734,222963,507655,680012,1133525,2170182,3341706,6220444,12345442,19445066,22747299,23005723,28996011,32604339,35327801,34553742,35698992,35956261,36839034,49798946
Russia,61.52401,105.31875600000001,2,56,12224,1129437,8257093,16097579,23233041,28508044,33468774,47477964,64909520,93639783,116090293,121143052,144103768,148345481,161477305,167033500,193245877,215984856,228131957,269069737
Rwanda,-1.9403,29.8739,0,0,579,4265,9340,18926,46037,83766,142511,169556,182477,242270,380021,523739,676033,761566,864731,998836,1832160,2658351,3004127,3365837
Saint Kitts and Nevis,17.357822,-62.782998,0,0,25,385,465,450,515,527,549,646,659,960,1149,1212,1413,1410,1705,8143,17952,25498,49891,83925
Saint Lucia,13.9094,-60.9789,0,0,66,442,556,567,703,789,829,1519,5983,9968,22944,75755,133012,140751,159186,166304,180081,222616,325857,414308
Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,18,329,567,834,1233,1779,1958,2317,2657,3437,16415,41477,55735,57933,64357,69006,74548,76399,89203,150571
Samoa,-13.759,-172.1046,0,0,0,0,0,0,0,0,0,0,23,68,66,76,99,96,99,96,99,99,96,102
San Marino,43.9424,12.4578,0,0,3322,11807,19954,21044,22169,22375,22968,27584,42883,69231,90637,100475,139842,159120,167780,162903,168484,172992,172677,186665
Sao Tome and Principe,0.1864,6.6131,0,0,0,118,7624,18865,23753,27436,28057,31661,32071,34327,37485,45728,68672,72776,76836,75484,79440,83028,96526,124234
Saudi Arabia,23.885942,45.079162,0,0,12266,262096,1660260,4063590,7458294,9232859,10134506,11624607,11665109,12259759,12052722,11195363,12665523,12930582,14352068,15051868,16777956,17721216,17470801,18630146
Senegal,14.4974,-14.4524,0,0,1444,12025,72254,157369,264469,372440,447718,522981,522760,599172,758667,934682,1224520,1269523,1350271,1352072,1700133,2305037,2352188,2511374
Serbia,44.0165,21.0059,0,0,5865,149995,324948,377220,618471,906472,1010331,1295388,3472369,9526301,12255674,12809602,17591783,20978908,23268003,22883744,23722701,24377383,27260183,35874987
Seychelles,-4.6796,55.492,0,0,132,322,341,539,3099,3867,4260,5042,5310,6864,23891,58487,112446,154622,308908,442252,570179,634921,665210,745553
Sierra Leone,8.460555000000001,-11.779889,0,0,1,1108,14797,35399,51771,60266,65999,78901,78993,84883,99920,114466,130028,128677,135433,150895,200703,209119,204334,217480
Singapore,1.2833,103.8333,56,1693,11276,188949,824865,1210239,1472037,1719511,1779427,1969006,1918227,1985794,1950511,1793795,1985202,1945343,2033621,1995347,2093629,2189273,2511226,5152892
Slovakia,48.669,19.699,0,0,3440,28263,45753,47133,60846,92437,198203,1077007,2895171,4921552,7288405,8417959,11224307,11967693,12777629,12512925,12939417,12993654,12873935,15094395
Slovenia,46.1512,14.9955,0,0,8609,36605,45272,45374,58783,76193,127258,563367,1909592,3472215,4877096,5406388,6707924,7366193,8214878,8204810,8520687,8667680,8988449,10629795
Solomon Islands,-9.6457,160.1562,0,0,0,0,0,0,0,0,0,121,509,578,561,531,597,625,660,640,660,660,640,680
Somalia,5.152149,46.199616,0,0,29,5314,40774,77531,95846,100817,106222,131067,143110,157266,156548,169637,315093,412383,477486,474404,499539,543403,603218,724306
South Africa,-30.5595,22.9375,0,0,10173,88044,497374,2421471,10057917,17952588,20264117,23894205,25016322,31106440,43155969,44740017,50572426,50089697,53465837,57696278,74626504,86765010,91673258,99128621
South Sudan,6.877000000000001,31.307,0,0,0,191,12050,49168,66680,76852,80892,96021,99571,112309,122890,174914,311947,333584,351430,343963,360724,370629,375956,415360
Spain,40.463667,-3.7492199999999998,0,106,742546,5236777,7102653,7331192,8134290,11159043,19094867,33180434,48930904,60852553,76855460,91902753,105863417,109014352,119198583,119971118,136126160,155474890,157482616,169612100
Sri Lanka,7.873054,80.77179699999999,5,28,1471,9067,31986,57101,78455,90093,100579,218597,595474,1197724,1771364,2270393,2927350,3144678,4885510,7357500,9392731,12243141,15751867,18068353
Sudan,12.8628,30.2176,0,0,48,2897,71755,221561,327938,385040,418525,466461,515451,764397,919891,899246,1022778,1049923,1148115,1159625,1219594,1237244,1216213,1344808
Summer Olympics 2020,35.6491,139.7737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2304,18623,27498,29410
Suriname,3.9193,-56.0278,0,0,88,300,342,7377,30514,92088,142456,173206,174018,191482,247483,263370,298213,308320,409405,606824,790312,894601,1147804,1572055
Sweden,60.128161,18.643501,0,41,47284,391340,938735,1611074,2280371,2519171,2725966,3623995,6345936,12007567,17089576,18528080,24195633,28605793,34162461,34680001,36129307,36740008,36549216,39544938
Switzerland,46.8182,8.2275,0,18,155101,767858,943988,935609,1033677,1188157,1492695,3139983,8772644,13492370,16329043,16289854,19081702,20221538,22464436,22416959,23410212,24633824,26135116,29175494
Syria,34.802075,38.996815000000005,0,0,52,921,2083,5546,15250,53007,112063,171711,227221,333903,427824,447437,563981,671356,784778,800310,851877,881570,983416,1337404
Taiwan*,23.7,121.0,55,577,3877,11888,13625,13341,14062,14954,15553,18281,20088,25540,28329,28108,32810,34459,113994,415999,506986,523605,515776,555379
Tajikistan,38.861,71.2761,0,0,0,0,47672,150326,207033,248207,283699,354812,384461,443400,452284,411420,452562,438848,452562,440300,481906,546113,558136,594482
Tanzania,-6.369028,34.888822,0,0,163,4575,15576,15270,15779,15779,15779,17306,16797,17306,16797,15270,16797,16288,16797,16288,19337,41961,92702,884987
Thailand,15.870032,100.992541,101,891,13480,77098,93701,93991,100363,104473,108129,125460,128627,177611,422384,732200,905338,1379770,3657536,6720795,13630622,30971906,45918421,60642674
Timor-Leste,-8.874217,125.727539,0,0,10,365,744,720,744,787,840,984,992,1188,1850,2904,9510,43312,153963,268966,332437,443992,597148,670081
Togo,8.6195,0.8248,0,0,278,2313,8434,16202,23804,36091,49887,70395,89424,113909,143030,180062,284006,390488,437748,437868,485254,612753,769031,879369
Tonga,-21.179000000000002,-175.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Trinidad and Tobago,10.6918,-61.2225,0,0,757,3315,3598,3629,4310,22008,102808,178482,204259,236252,243159,229552,258698,290042,568073,940624,1185408,1388123,1536067,1845262
Tunisia,33.886917,9.537499,0,0,2476,23056,32212,33677,41174,72295,291915,1359605,2689448,4029694,5872297,6708076,8043748,9059398,10856300,12155575,17318206,20798741,22142434,24163788
Turkey,38.9637,35.2433,0,0,58776,2098207,4521709,5429570,6712753,7744882,9185066,11846727,15302143,58138350,78354757,77980719,98181778,133017316,168534101,171179244,183072017,201497578,217320241,260492027
US,40.0,-100.0,43,377,1121455,19952987,45539243,64944375,111438099,166399242,206479198,279564067,382350931,591198151,785980284,833604445,979936643,1011572338,1088994493,1074257802,1130565176,1229059253,1336212185,1529942029
Uganda,1.373333,32.290275,0,0,211,1797,5937,21150,32169,54950,170033,359631,553459,989423,1258378,1201503,1340556,1323447,1437913,2104563,2941132,3429403,3901972,4255072
Ukraine,48.3794,31.1656,0,0,3064,137421,543592,1011298,1797522,2952987,5238159,10538095,19309103,32485004,39243392,39815236,51391067,62866869,72846148,73148910,76477572,77866910,78397165,94955931
United Arab Emirates,23.424076,53.847818000000004,12,247,5515,175824,718686,1274693,1724036,2009206,2545945,3916980,5049385,6482401,8427879,10587134,14246355,15815533,18078753,19355914,21760127,23200805,23364871,25109520
United Kingdom,18.2206,-63.0686,0,0,8,89,93,90,93,93,93,102,118,350,500,531,684,1342,3467,3488,3692,4998,10606,23561
United Kingdom,32.3078,-64.7505,0,0,161,2152,3874,4304,4681,5046,5515,6402,7489,15686,21954,20929,27792,63070,81277,80062,83553,89525,131234,188569
United Kingdom,18.4207,-64.64,0,0,9,121,229,240,248,508,2026,2414,2346,2715,3599,3615,5062,5860,7707,8545,52186,84030,84386,92235
United Kingdom,19.3133,-81.2546,0,0,95,1629,3204,5503,6269,6319,6448,7772,8552,10485,12243,12603,15592,16759,18626,19196,20635,21715,24330,39708
United Kingdom,49.3723,-2.3644,0,0,878,12701,17104,17006,17985,18837,19924,25801,35215,79775,111380,118905,133460,129971,133966,133030,225959,330591,358411,420580
United Kingdom,-51.7963,-59.5236,0,0,0,239,403,390,403,403,403,442,491,775,1110,1529,1782,1933,2079,2016,2079,2171,2144,2327
United Kingdom,36.1408,-5.3536,0,0,474,3737,4650,5265,5619,6936,10585,19239,29583,46521,115254,126256,140673,137033,141499,138232,152297,172197,174704,196352
United Kingdom,54.2361,-4.5481,0,0,303,7134,10283,10080,10416,10416,10489,11825,11998,12675,13691,13478,40110,50509,52496,51259,89706,196824,228526,294896
United Kingdom,16.742498,-62.187366000000004,0,0,38,286,341,330,362,402,403,442,429,442,429,548,660,640,660,640,680,787,1019,1362
United Kingdom,-7.9467,-14.3559,0,0,4,0,0,0,0,0,50,68,84,113,132,120,132,128,132,128,132,132,128,136
United Kingdom,21.694000000000003,-71.7979,0,0,18,282,372,454,2277,9181,19955,23740,23975,27260,37605,55964,74138,75654,79376,77515,80835,84973,88817,99516
United Kingdom,55.3781,-3.4360000000000004,2,545,281211,3299974,6976157,8169695,9072047,9875618,11951392,25076503,45699819,68988511,109573114,121252195,141014397,140339268,146930998,147841234,177326970,209405858,235483802,288577957
Uruguay,-32.5228,-55.7658,0,0,3023,15144,22718,25962,32857,44615,57111,87432,144488,419830,1045483,1501181,2601212,5067568,8146258,10965408,12467510,12654785,12392023,13305503
Uzbekistan,41.377491,64.585262,0,0,1062,35053,85596,168606,479255,1068133,1526099,2137675,2326678,2566499,2573150,2382711,2677368,2773165,3185643,3367123,3953040,4767816,5331897,6152986
Vanuatu,-15.3767,166.9592,0,0,0,0,0,0,0,0,0,0,24,34,33,30,85,108,132,128,132,132,128,152
Venezuela,6.4238,-66.5897,0,0,1296,6845,22391,101886,349975,1023744,1946653,2916346,3233345,3703337,3966762,4012259,4916688,5800944,7158468,8185987,9610676,10594236,11272030,13314971
Vietnam,14.058323999999999,108.277199,20,382,2514,7778,9465,10196,12278,28091,32992,38622,42183,47991,51791,66735,84234,88471,155246,389669,2199515,10058801,20920862,29459063
West Bank and Gaza,31.9522,35.2332,0,0,1355,8597,12240,25938,230938,519581,1005690,1609368,2254695,3980996,4988197,5109864,7122414,8831454,10025658,9981422,10413981,10740262,12108768,15040730
Yemen,15.552726999999999,48.516388,0,0,0,31,4101,23264,46644,57598,62366,69843,68269,70952,69683,65201,105851,180034,216693,219492,230408,244616,273994,323701
Zambia,-13.133897,27.849332,0,0,194,1754,18622,40038,90582,290970,425664,536193,567973,643283,1223682,2082193,2804351,2894492,3068525,3936526,5995011,6683546,6659906,7122585
Zimbabwe,-19.015438,29.154857,0,0,53,618,1871,12096,48113,163293,231421,276516,299666,410181,854778,1056312,1206063,1203106,1273938,1358165,2691818,3956846,4085658,4495692
