Country/Region,Latitude,Longitude,Jan_2020,Feb_2020,March_2020,April_2020,May_2020,June_2020,July_2020,Aug_2020,Sep_2020,Oct_2020,Nov_2020,Dec_2020,Jan_2021,Feb_2021,March_2021,April_2021,May_2021,June_2021,July_2021,Aug_2021,Sep_2021,Oct_2021
Cyprus,35.1264,33.4299,0,0,1826,19243,28113,29312,31890,41002,48831,93395,249344,562525,941166,994925,1353985,1800025,2357672,2392605,2993858,3648767,3786511,4159102
Czechia,49.8175,15.472999999999999,0,0,25984,184001,262979,307889,430742,628547,1378866,6498732,15216294,20951868,28940963,33270008,46696739,50985335,54493685,53289522,55132438,55327776,53931337,58481371
Denmark,61.8926,-6.9118,0,0,1826,5518,5797,5610,6036,10684,13421,16454,16449,18583,21286,19708,21786,21187,22464,24245,29710,32765,34212,51846
Denmark,71.7069,-42.6043,0,0,84,327,354,390,408,434,434,543,583,738,965,900,1020,992,1099,1486,2517,8229,14599,23410
Denmark,56.2639,9.5018,0,2,30812,197702,332671,367368,408248,479671,673211,1245915,2152007,4252326,6162704,6159274,7322704,7733903,8823418,9278065,10072650,10977673,11314566,12641318
Diamond Princess,0.0,0.0,0,9371,21968,21360,22072,21360,22072,22072,22072,24208,23496,24208,23496,21360,23496,22784,23496,22784,23496,23496,22784,24208
Djibouti,11.8251,42.5903,0,0,125,16283,54254,132173,153695,165639,167377,186352,186236,195901,194551,179913,220559,323156,376590,370540,383644,385805,386814,452715
Dominica,15.415,-61.371,0,0,79,460,496,538,558,576,749,1211,2288,2960,3563,3898,5090,5377,5951,6086,6703,29222,85147,145229
Dominican Republic,18.7357,-70.1627,0,0,6140,115932,376401,721962,1543434,2630788,3256284,4109962,4471999,5383344,6372772,6893844,8159923,8329114,9204852,9983620,11088516,11438063,11351343,12624619
Ecuador,-1.8312,-78.1834,0,0,16469,321161,1029314,1429745,2217004,3121790,3816743,5223400,5995763,6948589,7627748,8045537,10143082,11426232,13520451,14173894,15646345,16334527,16190508,17454663
Egypt,26.820553000000004,30.802497999999996,0,15,7140,83386,403993,1406847,2615575,2991066,3142157,3587242,3689481,4282395,5125796,5245516,6367602,6893437,8143530,8781623,9351345,9437241,9476411,10848879
El Salvador,13.7942,-88.8965,0,0,156,5333,41262,122784,347650,692113,848331,1072005,1213912,1458298,1683792,1740090,2069190,2149361,2359151,2441917,2737566,3008778,3199187,3733878
Equatorial Guinea,1.6508,10.2679,0,0,130,2867,21842,46572,95881,150812,155020,172345,168916,177152,177251,172153,217874,234402,265041,277455,291256,299119,349942,439781
Eritrea,15.1794,39.7823,0,0,65,1027,1209,3083,7490,9178,11045,14769,17293,28729,58722,76730,101700,112178,127792,164446,210018,218024,213506,230403
Estonia,58.5953,25.0136,0,2,7350,41075,55005,58725,62542,68481,87437,140955,280980,699239,1217198,1629945,2928722,3717344,4186820,4178431,4356522,4545317,4769856,5940716
Eswatini,-26.5225,31.4659,0,0,75,843,6137,15782,50503,115702,159085,195521,203278,256600,426592,496407,569028,577989,611342,602165,712910,1208896,1443405,1574617
Ethiopia,9.145,40.4897,0,0,203,2558,12773,106607,300942,998557,2040821,2994763,3422490,4028534,4329654,4461081,6009380,7596208,8780519,8783330,9169991,9663543,10539038,12183079
Fiji,-17.7134,178.065,0,0,47,464,558,540,765,856,976,1108,1191,1552,1769,1695,2165,2595,7257,63017,551394,1343061,1582491,1759235
Finland,61.92411,25.748151,3,31,13382,99473,190615,212396,226937,240361,275534,453068,674394,1082806,1341476,1542332,2265944,2665473,2975594,3012863,3317167,3903372,4327794,5126844
